Latitud,Longitud,Ciudad,Pais
42.1294712,-80.0852695,Erie,US
40.2663107,-76.8861122,Harrisburg,US
39.9527237,-75.1635262,Philadelphia,US
40.4416941,-79.9900861,Pittsburgh,US
41.2464824,-75.8817316,Wilkes Barre,US
41.7962409,-71.5992372,Rhode Island,US
32.7876012,-79.9402728,Charleston,US
34.0007493,-81.0343313,Columbia,US
44.0869329,-103.2274481,Rapid City,US
43.5460587,-96.7313928,Sioux Falls,US
35.0457219,-85.3094883,Chattanooga,US
35.9603948,-83.9210261,Knoxville,US
35.1490215,-90.0516285,Memphis,US
37.4416863,-98.4225773,Nashville,US
32.44645,-99.7475905,Abilene,US
35.2072185,-101.8338246,Amarillo,US
30.2711286,-97.7436995,Austin,US
25.9140256,-97.4890856,Brownsville,US
27.7477253,-97.4014129,Corpus Christi,US
32.89651945,-97.0465220537124,Dallas Ft Worth,US
31.7754152,-106.464634,El Paso,US
29.7589382,-95.3676974,Houston,US
33.5635206,-101.879336,Lubbock,US
31.8329723,-102.3606957,Midland Odessa,US
31.4648357,-100.4398442,San Angelo,US
29.4246002,-98.4951405,San Antonio,US
31.549333,-97.1466695,Waco,US
33.9137085,-98.4933873,Wichita Falls,US
40.7596198,-111.8867975,Salt Lake City,US
44.4761601,-73.212906,Burlington,US
36.8462923,-76.2929252,Norfolk,US
37.5385087,-77.43428,Richmond,US
37.270973,-79.9414313,Roanoke,US
47.6038321,-122.3300624,Seattle,US
47.6571934,-117.4235106,Spokane,US
46.601557,-120.5108421,Yakima,US
38.925927,-79.8466552,Elkins,US
44.5126379,-88.0125794,Green Bay,US
43.074761,-89.3837613,Madison,US
43.0349931,-87.922497,Milwaukee,US
42.8501191,-106.325138,Casper,US
41.139981,-104.820246,Cheyenne,US
18.465299,-66.116666,San Juan Puerto Rico,US
